name,type,gender
Aba,first,male
Abbás,first,male
Abdiás,first,male
Abigél,first,female
Abiáta,first,female
Abád,first,male
Abélia,first,female
Acsád,first,male
Ada,first,female
Adalbertina,first,female
Adaléna,first,female
Adela,first,female
Adelina,first,female
Adeliza,first,female
Adelmár,first,male
Adorján,first,male
Adria,first,female
Adrianna,first,female
Adrienn,first,female
Adrienna,first,female
Adrina,first,female
Adrián,first,male
Adriána,first,female
Adriánó,first,male
Adél,first,female
Adéla,first,female
Adélia,first,female
Adóra,first,female
Aglája,first,female
Agnéta,first,female
Agád,first,male
Agáta,first,female
Ajna,first,female
Ajnácska,first,female
Ajtonka,first,female
Ajándék,first,female
Aladár,first,male
Alaméa,first,female
Albert,first,male
Alberta,first,female
Albertina,first,female
Albina,first,female
Alett,first,female
Aletta,first,female
Alex,first,male
Alexa,first,female
Alexandra,first,female
Alexandrina,first,female
Alexia,first,female
Alfonz,first,male
Alfonza,first,female
Alfonzin,first,female
Alfonzina,first,female
Alfréd,first,male
Alfréda,first,female
Alianna,first,female
Alicia,first,female
Alina,first,female
Alissza,first,female
Aliszia,first,female
Alita,first,female
Aliz,first,female
Aliza,first,female
Alizé,first,female
Alma,first,female
Almanda,first,female
Almira,first,female
Almiréna,first,female
Almár,first,male
Alojza,first,female
Aloé,first,female
Alpár,first,male
Alvin,first,male
Alán,first,male
Alárd,first,male
Aléna,first,female
Alícia,first,female
Alíz,first,female
Alízia,first,female
Amanda,first,female
Amandina,first,female
Amarilla,first,female
Amarillisz,first,female
Ambrus,first,male
Ambró,first,male
Ambrózia,first,female
Amelda,first,female
Ameli,first,female
Amilla,first,female
Amira,first,female
Amrita,first,female
Amábel,first,female
Amál,first,female
Amália,first,female
Amáta,first,female
Amélia,first,female
Anabella,first,female
Anaszta,first,female
Anasztáz,first,male
Anasztázia,first,female
Anatólia,first,female
Ancsa,first,female
Andi,first,female
Andor,first,male
Andorás,first,male
Andrea,first,female
Andrina,first,female
András,first,male
André,first,male
Anelíz,first,female
Anett,first,female
Anetta,first,female
Angelika,first,female
Angelusz,first,male
Angyal,first,female
Angyalka,first,female
Angéla,first,female
Angélia,first,female
Ani,first,female
Anica,first,female
Aniella,first,female
Anika,first,female
Anikó,first,female
Anissza,first,female
Anisza,first,female
Anita,first,female
Anka,first,female
Ankus,first,male
Anna,first,female
Annabel,first,female
Annabell,first,female
Annabella,first,female
Annabori,first,female
Annadorka,first,female
Annadóra,first,female
Annahella,first,female
Annakarina,first,female
Annalea,first,female
Annaleila,first,female
Annalili,first,female
Annalilla,first,female
Annaliza,first,female
Annalujza,first,female
Annaléna,first,female
Annamari,first,female
Annamira,first,female
Annamária,first,female
Annamíra,first,female
Annaregina,first,female
Annarita,first,female
Annaréka,first,female
Annaróz,first,female
Annaróza,first,female
Annarózsa,first,female
Annaszofi,first,female
Annaszófia,first,female
Annasára,first,female
Annavera,first,female
Annavirág,first,female
Annazsófia,first,female
Annika,first,female
Anriett,first,female
Antal,first,male
Antea,first,female
Antoanett,first,female
Anton,first,male
Antónia,first,female
Antónió,first,male
Anéta,first,female
Aporka,first,female
Apród,first,male
Arabella,first,female
Aranka,first,female
Arany,first,female
Aranyka,first,female
Aranyos,first,female
Ardó,first,male
Arek,first,male
Ari,first,female
Aria,first,female
Arianna,first,female
Ariella,first,female
Arienn,first,female
Arietta,first,female
Arisza,first,female
Arisztid,first,male
Arita,first,female
Arián,first,male
Ariéla,first,female
Arlett,first,female
Armanda,first,female
Armandina,first,female
Armandó,first,male
Armida,first,female
Armilla,first,female
Arnold,first,male
Arnolda,first,female
Arnó,first,male
Arnót,first,male
Artin,first,male
Artúr,first,male
Arvid,first,male
Arvéd,first,male
Arzén,first,male
Arzénia,first,female
Asztéria,first,female
Atala,first,female
Atanázia,first,female
Atika,first,female
Atilla,first,male
