name,type,gender
Adam,first,male
Adrian,first,male
Albert,first,male
Albin,first,male
Aleksander,first,male
Aleksy,first,male
Alfons,first,male
Alfred,first,male
Alojzy,first,male
Ambroży,first,male
Anastazy,first,male
Anatol,first,male
Anatoli,first,male
Anatoliusz,first,male
Andrzej,first,male
Antoni,first,male
Anzelm,first,male
Apolinary,first,male
Apoloniusz,first,male
Arkadiusz,first,male
Arnold,first,male
Artur,first,male
August,first,male
Augustyn,first,male
Aureliusz,first,male
Bartosz,first,male
Bartłomiej,first,male
Bazyl,first,male
Bazyli,first,male
Benedykt,first,male
Beniamin,first,male
Benon,first,male
Bernard,first,male
Bogdan,first,male
Bogumił,first,male
Bogusz,first,male
Bogusław,first,male
Bohdan,first,male
Bolesław,first,male
Bonifacy,first,male
Borys,first,male
Bronisław,first,male
Bruno,first,male
Brunon,first,male
Błażej,first,male
Celestyn,first,male
Cezariusz,first,male
Cezary,first,male
Cyprian,first,male
Cyryl,first,male
Czesław,first,male
Damazy,first,male
Damian,first,male
Daniel,first,male
Dariusz,first,male
Dawid,first,male
Dieter,first,male
Dionizy,first,male
Diter,first,male
Dobiesław,first,male
Dobrosław,first,male
Dominik,first,male
Donat,first,male
Dymitr,first,male
Dyonizy,first,male
Edmund,first,male
Edward,first,male
Edwin,first,male
Egon,first,male
Eliasz,first,male
Eligiusz,first,male
Emanuel,first,male
Emil,first,male
Emilian,first,male
Engelbert,first,male
Erazm,first,male
Erhard,first,male
Ernest,first,male
Erwin,first,male
Eryk,first,male
Eugeniusz,first,male
Eugieniusz,first,male
Eustachiusz,first,male
Eustachy,first,male
Euzebiusz,first,male
Ewald,first,male
Ewaryst,first,male
Fabian,first,male
Felicjan,first,male
Feliks,first,male
Ferdynand,first,male
Filip,first,male
Florian,first,male
Franciszek,first,male
Fryderyk,first,male
Gabriel,first,male
Gerard,first,male
Gerhard,first,male
Ginter,first,male
Gotfryd,first,male
Gracjan,first,male
Grzegorz,first,male
Gustaw,first,male
Gwidon,first,male
Harald,first,male
Heinz,first,male
Heliodor,first,male
Helmut,first,male
Henryk,first,male
Herbert,first,male
Herman,first,male
Heronim,first,male
Hieronim,first,male
Hilary,first,male
Hipolit,first,male
Horst,first,male
Hubert,first,male
Idzi,first,male
Ignacy,first,male
Igor,first,male
Inez,first,male
Ingrid,first,male
Ireneusz,first,male
Iwo,first,male
Izydor,first,male
Jacek,first,male
Jacenty,first,male
Jakub,first,male
Jan,first,male
Janisław,first,male
Januariusz,first,male
January,first,male
Janusz,first,male
Jaromir,first,male
Jarosław,first,male
Jeremi,first,male
Jeremiasz,first,male
Jerzy,first,male
Joachim,first,male
Julian,first,male
Juliusz,first,male
Jurand,first,male
Jurek,first,male
Justyn,first,male
Józef,first,male
Jędrzej,first,male
Kacper,first,male
Kajetan,first,male
Kamil,first,male
Karin,first,male
Karol,first,male
Kazimierz,first,male
Klaudiusz,first,male
Klaus,first,male
Klemens,first,male
Konrad,first,male
Konstanty,first,male
Kordian,first,male
Kornel,first,male
Korneliusz,first,male
Kryspin,first,male
Krystian,first,male
Krystyn,first,male
Krzysztof,first,male
Ksawery,first,male
Kurt,first,male
Lech,first,male
Lechosław,first,male
Leon,first,male
Leonard,first,male
Leonid,first,male
Leopold,first,male
Leszek,first,male
Lesław,first,male
Longin,first,male
Lubomir,first,male
Lucjan,first,male
Lucjusz,first,male
Ludomir,first,male
Ludwik,first,male
Maciej,first,male
Maksymilian,first,male
Manfred,first,male
Marcel,first,male
Marceli,first,male
Marcin,first,male
Marek,first,male
Margot,first,male
Marian,first,male
Mariusz,first,male
Mateusz,first,male
Maurycy,first,male
Medard,first,male
Michał,first,male
Mieczysław,first,male
Mikołaj,first,male
Miron,first,male
Mirosław,first,male
Miłosz,first,male
Modest,first,male
Napoleon,first,male
Narcyz,first,male
Nikodem,first,male
Norbert,first,male
Olaf,first,male
Oleg,first,male
Olgierd,first,male
Onufry,first,male
Oskar,first,male
Oswald,first,male
Otto,first,male
Otton,first,male
Patryk,first,male
Paweł,first,male
Piotr,first,male
Polikarp,first,male
Przemysław,first,male
Radomir,first,male
Radosław,first,male
Radzisław,first,male
Rafał,first,male
Rajmund,first,male
Rajnard,first,male
Rajnold,first,male
Reinhard,first,male
Reinhold,first,male
Remigiusz,first,male
Robert,first,male
Roch,first,male
Roger,first,male
Roland,first,male
Roman,first,male
Romuald,first,male
Rościsław,first,male
Rudolf,first,male
Rufin,first,male
Ruth,first,male
Ryszard,first,male
Saturnin,first,male
Sebastian,first,male
Serafin,first,male
Sergiusz,first,male
Seweryn,first,male
Stanisław,first,male
Stefan,first,male
Sylweriusz,first,male
Sylwester,first,male
Szczepan,first,male
Szymon,first,male
Sławoj,first,male
Sławomir,first,male
Tadeusz,first,male
Telesfor,first,male
Teodor,first,male
Teofil,first,male
Tomasz,first,male
Tymoteusz,first,male
Tytus,first,male
Wacław,first,male
Waldemar,first,male
Walenty,first,male
Walerian,first,male
Walery,first,male
Walter,first,male
Wasyl,first,male
Wawrzyniec,first,male
Wenancjusz,first,male
Wendelin,first,male
Werner,first,male
Wiaczesław,first,male
Wiesław,first,male
Wieńczysław,first,male
Wiktor,first,male
Wilhelm,first,male
Wilibald,first,male
Wincenty,first,male
Winicjusz,first,male
Wirgiliusz,first,male
Wit,first,male
Witalis,first,male
Witold,first,male
Witosław,first,male
Wojciech,first,male
Wolfgang,first,male
Władysław,first,male
Włodzimierz,first,male
Włodzisław,first,male
Zbigniew,first,male
Zbyszek,first,male
Zbyszko,first,male
Zbysław,first,male
Zdzisław,first,male
Zenobiusz,first,male
Zenon,first,male
Ziemowit,first,male
Zygfryd,first,male
Zygmunt,first,male
Łucjan,first,male
Łukasz,first,male
Ada,first,female
Adamina,first,female
Adela,first,female
Adelajda,first,female
Adolfa,first,female
Adolfina,first,female
Adriana,first,female
Adrianna,first,female
Agata,first,female
Agnieszka,first,female
Ala,first,female
Albina,first,female
Aldona,first,female
Aleksandra,first,female
Alfreda,first,female
Alicja,first,female
Alina,first,female
Alojza,first,female
Amalia,first,female
Amelia,first,female
Anastazja,first,female
Andżelika,first,female
Aneta,first,female
Anetta,first,female
Angelika,first,female
Aniceta,first,female
Aniela,first,female
Anita,first,female
Anna,first,female
Antonina,first,female
Apolonia,first,female
Arleta,first,female
Arletta,first,female
Augustyna,first,female
Aurelia,first,female
Balbina,first,female
Barbara,first,female
Beata,first,female
Benedykta,first,female
Benigna,first,female
Bernadeta,first,female
Bernadetta,first,female
Bernarda,first,female
Bernardeta,first,female
Bernardyna,first,female
Berta,first,female
Bibianna,first,female
Blandyna,first,female
Blanka,first,female
Bogdana,first,female
Bogna,first,female
Bogumiła,first,female
Bogusława,first,female
Bolesława,first,female
Bożena,first,female
Bożenna,first,female
Bronisława,first,female
Brygida,first,female
Cecylia,first,female
Celestyna,first,female
Celina,first,female
Cyryla,first,female
Czesława,first,female
Dagmara,first,female
Daniela,first,female
Danuta,first,female
Daria,first,female
Diana,first,female
Dioniza,first,female
Dobrosława,first,female
Domicela,first,female
Dominika,first,female
Donata,first,female
Dorota,first,female
Edeltrauda,first,female
Edmunda,first,female
Edwarda,first,female
Edyta,first,female
Eleonora,first,female
Elfryda,first,female
Eliza,first,female
Elwira,first,female
Elza,first,female
Elżbieta,first,female
Emilia,first,female
Emma,first,female
Erika,first,female
Erna,first,female
Ernestyna,first,female
Eryka,first,female
Estera,first,female
Eufemia,first,female
Eugenia,first,female
Eulalia,first,female
Ewa,first,female
Ewelina,first,female
Felicja,first,female
Feliksa,first,female
Filomena,first,female
Florentyna,first,female
Franciszka,first,female
Fryderyka,first,female
